keyword      C          C++        Go         Haskell    Java       JavaScript Julia      Perl       Python     Ruby       
__end__:     3          0          0          0          0          0          0          380        0          13         
and:         646        1167       614        386        1328       415        603        953        707        446        
any:         272        913        185        138        1131       89         466        420        137        125        
as:          440        996        363        559        1173       169        389        601        436        215        
auto:        26         819        13         7          9          3          20         59         3          7          
begin:       69         451        24         6          16         2          299        288        5          228        
bool:        181        681        492        366        0          146        301        58         123        6          
boolean:     45         16         33         25         376        70         36         66         19         13         
break:       440        261        243        36         113        69         218        59         172        115        
byte:        133        84         423        9          32         2          36         63         8          27         
case:        386        277        417        402        109        98         187        248        62         163        
catch:       38         147        13         27         212        80         147        45         6          18         
char:        993        678        31         201        129        56         119        143        59         35         
check:       229        278        172        143        100        97         218        265        92         58         
class:       149        592        29         158        1897       149        13         355        284        619        
const:       767        1009       456        106        4          968        409        42         3          13         
continue:    260        158        225        12         48         36         157        60         72         9          
cout:        1          877        1          0          0          0          0          0          0          0          
data:        361        337        235        1192       172        211        317        357        169        100        
def:         66         23         13         18         3          2          26         50         1554       989        
default:     294        273        243        38         80         428        204        314        55         103        
defer:       6          7          215        2          0          2          7          8          2          0          
delete:      77         218        41         63         51         57         87         222        21         67         
deriving:    1          0          0          313        0          1          0          0          0          1          
do:          389        281        249        829        1160       101        277        462        44         1176       
double:      337        272        27         151        208        5          50         73         18         24         
elif:        90         32         0          1          0          0          0          5          203        0          
else:        819        654        441        372        393        310        587        625        726        309        
elseif:      1          0          0          0          0          0          343        2          0          0          
elsif:       2          0          0          0          0          0          0          391        0          101        
end:         329        572        154        126        67         84         1496       283        173        1685       
endl:        1          525        0          0          0          0          0          0          0          0          
error:       281        199        512        327        94         184        356        363        76         145        
eval:        38         4          4          27         6          16         146        308        46         53         
except:      70         827        50         30         6          13         49         122        176        17         
export:      12         6          24         18         0          487        129        163        1          2          
extends:     14         1          4          2          439        62         4          20         0          3          
extern:      232        73         9          3          163        0          2          12         0          5          
false:       287        577        378        262        288        306        571        166        295        431        
final:       50         47         29         22         820        21         38         68         26         10         
float64:     4          2          302        0          0          0          280        0          5          0          
for:         1315       1586       1244       328        1825       748        1255       1289       1482       489        
foreach:     14         24         1          0          90         125        34         437        0          23         
from:        466        396        381        277        1230       805        406        585        975        223        
func:        94         89         1852       18         2          70         56         45         21         4          
function:    334        430        262        268        151        1134       1178       284        253        34         
go:          55         59         1102       147        23         93         40         137        108        13         
goto:        207        10         25         3          0          2          22         101        4          2          
if:          1376       1235       1258       492        978        880        914        1144       1422       786        
implements:  32         27         90         14         292        2          31         56         13         8          
import:      10         0          1535       1382       1494       569        188        219        1341       8          
